Account,date,classification,total_closed_pnl,num_trades,num_closes,num_liquidations,total_volume_usd,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Extreme Greed,0.0,177,0,0,900880.13,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Extreme Greed,0.0,68,0,0,542413.1799999999,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Extreme Greed,0.0,40,0,0,949380.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Extreme Greed,-21227.0,12,12,0,338240.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Extreme Greed,1603.1,27,12,0,465700.0,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Extreme Greed,-132271.0,82,82,0,1316799.98,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Extreme Greed,0.0,23,0,0,1116918.77,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,-175611.00005600002,33,33,0,1212299.96,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Extreme Greed,71393.964098,465,112,0,5306093.62,0.20535714285714285
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Extreme Greed,40218.599998,51,28,0,479429.99,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,76710.0,10,9,0,1858470.0,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,101011.685664,839,370,0,19794543.66,0.6891891891891891
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,375620.270243,531,111,0,5616220.88,0.7477477477477478
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,44400.9058,210,78,0,5582863.31,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,30897.0887,141,132,0,1432708.93,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,55086.0,48,16,0,1537560.0,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,0.0,6,0,0,807600.01,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,10152.12224,59,31,0,1603504.46,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,115445.395538,219,93,0,2898197.14,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Extreme Fear,115287.0,55,1,0,1372739.97,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Extreme Fear,9482.221441,45,36,0,134360.89,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,533974.662903,641,540,0,5365898.24,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,40200.0,5,4,0,398200.0,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,307855.80341,31,31,0,666240.85,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Extreme Greed,11715.94323,55,0,0,135847.3,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Extreme Greed,0.0,1,0,0,0.06,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,0.0,34,0,0,48513.58,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Extreme Greed,3515.031065,26,0,0,52028.630000000005,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Extreme Greed,0.0,46,0,0,52066.88,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Extreme Greed,2517.787385,64,0,0,54584.72,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Extreme Greed,1613.165903,59,0,0,112897.91,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Extreme Greed,0.0,1,0,0,0.11,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,1245.51851,34,21,0,341740.77999999997,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,Greed,0.0,13,0,0,36997.54,
